Serial,Code,Product Name (Arabic),Product Name (english),Description (Arabic),Description (English),Category (Arabic),Category (English),Net Cost Value,Cost Price,Net,Case Net,In Stock
1,1000001,كركديه,Hibiscus,"كركديه من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Hibiscus is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,153.5275,15.5,9.905,9.9,0
2,1000002,بابونج,Chamomile,"بابونج من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Chamomile is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5,5,0
3,1000003,طين حجر,Stone Clay,"طين حجر من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Clay Stone is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5,5,0
4,1000004,جاوي احمر,Red Benzoin Jawi,"جاوي احمر من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Red Jawi is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.02,2.02,0
5,1000005,جاوي ابيض,White Benzoin Jawi,"جاوي ابيض من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",White Jawi is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.02,2.02,0
6,1000006,قسط هندي مطحون,Indian Costus Root Ground,"قسط هندي مطحون من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Ground Indian Costus is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3,3,0
7,1000007,قرض اسود,Black Acacia,"قرض اسود من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Black Acacia is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.02,2.02,0
8,1000008,نبات السعد,Cyperus Plant,"نبات السعد من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Cyperus Plant is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.02,2.02,0
9,1000009,خواجوا (ساق الحمام),Khawajwa (Alkanet Root),"خواجوا (ساق الحمام) من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Khawajwa ساق الحمام is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,211.375,44.5,4.75,4.75,0
10,1000010,ورد جوري (محمدي),Damask Rose (Mohammadi),"ورد جوري (محمدي) من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",ورد جوري Mohammadi Rose is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.08,3.08,0
